RegionID,SizeRank,City/State,July Average Rent,Radius,YOY %
394957,97,"Palm Bay, FL",1673,25,0.50%
394711,98,"Jackson, MS",1410,30,2.00%
394666,99,"Harrisburg, PA",1316,30,3.70%
395113,100,"Spokane, WA",1460,30,2.40%
395075,101,"Scranton, PA",1226,25,2.60%
394460,102,"Chattanooga, TN",1333,30,-0.50%
394871,103,"Modesto, CA",1738,30,4.20%
394768,104,"Lancaster, PA",1295,25,4.90%
394997,105,"Portland, ME",2229,30,6.10%
395245,106,"Youngstown, OH",843,25,6.60%
394770,107,"Lansing, MI",1276,25,7.10%
394590,108,"Fayetteville, AR",1335,25,4.60%
394589,109,"Fayetteville, NC",1315,25,3.80%
394792,110,"Lexington, KY",1346,30,4.50%
394971,111,"Pensacola, FL",1644,25,1.10%
395068,112,"Santa Rosa, CA",2479,30,1.50%
395019,113,"Reno, NV",1770,30,3.20%
394698,114,"Huntsville, AL",1250,25,-1.90%
394995,115,"Port St. Lucie, FL",2077,25,4.00%
394761,116,"Lafayette, LA",1257,25,4.40%
394898,117,"Myrtle Beach, SC",1644,25,0.50%
395116,118,"Springfield, MO",947,25,4.30%
395195,119,"Visalia, CA",1366,25,5.10%
394746,120,"Killeen, TX",1110,25,2.10%
394338,121,"Asheville, NC",1593,25,-0.50%
395244,122,"York, PA",1172,25,6.50%
395183,123,"Vallejo, CA",2271,25,3.40%
753917,124,"Santa Maria, CA",2801,25,0.40%
395050,125,"Salinas, CA",2343,30,5.30%
395048,126,"Salem, OR",1579,25,1.70%
394870,127,"Mobile, AL",1338,30,4.20%
395015,128,"Reading, PA",1337,25,1.40%
394502,129,"Corpus Christi, TX",1181,35,0.30%
394421,130,"Brownsville, TX",1121,30,2.80%
394820,131,"Manchester, NH",2096,25,4.00%
394612,132,"Fort Wayne, IN",1149,30,3.70%
394658,133,"Gulfport, MS",1326,25,4.10%
395051,134,"Salisbury, MD",1758,25,7.90%
394596,135,"Flint, MI",1087,25,2.90%
394972,136,"Peoria, IL",1095,25,6.60%
394439,137,"Canton, OH",996,25,5.60%
395070,138,"Savannah, GA",1705,25,1.50%
394327,139,"Anchorage, AK",1530,35,3.30%
394372,140,"Beaumont, TX",1046,30,8.70%
395096,141,"Shreveport, LA",1373,25,6.90%
395164,142,"Trenton, NJ",2511,25,1.70%
394875,143,"Montgomery, AL",1376,25,4.40%
394520,144,"Davenport, IA",838,30,0.40%
395146,145,"Tallahassee, FL",1374,25,4.50%
394576,146,"Eugene, OR",1740,25,2.30%
394901,147,"Naples, FL",2361,25,1.60%
394332,148,"Ann Arbor, MI",2067,25,4.80%
394927,149,"Ocala, FL",1453,25,3.00%
394679,150,"Hickory, NC",1402,25,8.30%
394697,151,"Huntington, WV",841,25,3.60%
394602,152,"Fort Collins, CO",1719,25,1.40%
395033,153,"Rockford, IL",1108,25,7.80%
394796,154,"Lincoln, NE",1205,25,2.70%
394622,155,"Gainesville, FL",1588,25,3.70%
394405,156,"Boulder, CO",2117,25,0.90%
394646,157,"Green Bay, WI",981,25,7.40%
394488,158,"Columbus, GA",1143,30,5.10%
395107,159,"South Bend, IN",1669,25,8.90%
395109,160,"Spartanburg, SC",1317,30,3.70%
394645,161,"Greeley, CO",1469,25,0.90%
394808,162,"Lubbock, TX",1045,25,2.20%
394471,163,"Clarksville, TN",1180,25,2.00%
395028,164,"Roanoke, VA",1325,25,5.70%
394579,165,"Evansville, IN",820,25,5.20%
394747,167,"Kingsport, TN",1199,25,5.00%
394741,168,"Kennewick, WA",1651,25,2.10%
395179,169,"Utica, NY",1214,25,4.80%
394660,170,"Hagerstown, MD",1448,25,4.90%
394543,171,"Duluth, MN",1233,25,8.00%
394937,172,"Olympia, WA",1829,25,4.40%
394803,173,"Longview, TX",996,20,6.60%
395229,174,"Wilmington, NC",1557,25,-0.20%
395061,175,"San Luis Obispo, CA",2463,25,6.10%
753875,176,"Crestview, FL",1764,20,-1.70%
394851,177,"Merced, CA",1580,25,7.10%
395197,178,"Waco, TX",1371,25,0.00%
394447,179,"Cedar Rapids, IA",815,25,5.90%
394348,180,"Atlantic City, NJ",1865,20,8.50%
394412,181,"Bremerton, WA",1875,25,2.80%
395103,182,"Sioux Falls, SD",1099,25,0.40%
395065,183,"Santa Cruz, CA",3177,25,2.10%
394572,184,"Erie, PA",861,30,11.90%
394924,185,"Norwich, CT",1667,20,0.50%
394323,186,"Amarillo, TX",913,30,2.40%
394772,187,"Laredo, TX",1229,25,7.00%
395171,188,"Tuscaloosa, AL",1168,20,3.80%
394483,189,"College Station, TX",1305,25,3.40%
394732,190,"Kalamazoo, MI",1186,25,3.30%
394811,191,"Lynchburg, VA",1042,20,5.20%
394455,192,"Charleston, WV",1178,30,9.20%
395240,193,"Yakima, WA",1176,20,0.00%
394585,194,"Fargo, ND",975,30,2.70%
394387,195,"Binghamton, NY",1272,25,7.50%
394609,196,"Fort Smith, AR",790,25,2.70%
394334,197,"Appleton, WI",1094,25,4.80%
845160,198,"Prescott Valley, AZ",1722,25,5.50%
395161,199,"Topeka, KS",1169,25,5.20%
394813,200,"Macon, GA",1117,25,-1.40%
395174,201,"Tyler, TX",1304,20,4.10%
394361,202,"Barnstable Town, MA",2733,25,1.30%
394519,203,"Daphne, AL",1484,20,-1.20%
394378,205,"Bellingham, WA",1753,25,4.70%
394429,206,"Burlington, VT",1920,25,1.80%
395030,207,"Rochester, MN",1591,25,2.10%
753895,208,"Lafayette, IN",1136,20,6.10%
394454,209,"Champaign, IL",969,25,6.50%
394848,210,"Medford, OR",1432,25,7.70%
845164,211,"Lebanon, NH",1726,20,8.20%
394459,212,"Charlottesville, VA",1819,25,3.00%
394763,213,"Lake Charles, LA",1013,25,1.90%
394773,214,"Las Cruces, NM",945,25,4.10%
394464,215,"Chico, CA",1457,25,3.40%
394681,216,"Hilton Head Island, SC",1913,15,-1.30%
394346,217,"Athens, GA",1561,25,0.30%
394765,218,"Lake Havasu City, AZ",1309,20,4.70%
394485,219,"Columbia, MO",1043,30,5.60%
395114,220,"Springfield, IL",1013,25,3.00%
394691,221,"Houma, LA",1348,20,6.10%
394872,222,"Monroe, LA",1085,25,2.80%
394565,223,"Elkhart, IN",908,25,10.90%
394726,224,"Johnson City, TN",1253,20,10.40%
395247,225,"Yuma, AZ",1132,20,4.40%
394623,226,"Gainesville, GA",1584,25,-0.80%
394716,227,"Jacksonville, NC",1074,20,6.30%
394597,228,"Florence, SC",1415,20,1.90%
394680,229,"Hilo, HI",2157,20,0.00%
395118,230,"St. Cloud, MN",1277,25,2.90%
395011,231,"Racine, WI",1268,20,6.30%
394380,232,"Bend, OR",1850,20,3.50%
395047,233,"Saginaw, MI",942,20,5.70%
395202,234,"Warner Robins, GA",1535,20,1.60%
395151,235,"Terre Haute, IN",827,25,3.70%
395162,236,"Torrington, CT",1532,20,7.90%
395009,237,"Punta Gorda, FL",1596,20,-2.20%
394386,239,"Billings, MT",1296,25,3.50%
395018,240,"Redding, CA",1250,25,6.40%
394748,241,"Kingston, NY",1835,20,2.50%
394960,242,"Panama City, FL",1640,25,-0.20%
394729,243,"Joplin, MO",1029,20,5.90%
394539,244,"Dover, DE",1539,20,2.60%
394712,246,"Jackson, TN",1005,25,4.40%
395246,247,"Yuba City, CA",1385,20,1.60%
394406,248,"Bowling Green, KY",1145,25,1.10%
395119,249,"St. George, UT",1597,25,3.60%
394896,250,"Muskegon, MI",1068,20,11.30%
394299,251,"Abilene, TX",1329,20,14.60%
394707,252,"Iowa City, IA",999,25,4.90%
394351,253,"Auburn, AL",1418,25,0.00%
394860,254,"Midland, TX",1574,25,3.90%
394671,255,"Hattiesburg, MS",1301,20,11.00%
753869,255,"Bloomington, IL",1005,25,4.10%
394944,257,"Oshkosh, WI",1090,25,7.00%
394555,258,"Eau Claire, WI",1021,25,2.80%
394651,259,"Greenville, NC",1430,25,5.20%
394428,260,"Burlington, NC",1331,20,5.90%
395210,261,"Waterloo, IA",940,20,5.20%
394480,262,"Coeur d'Alene, ID",1656,20,4.10%
394553,263,"East Stroudsburg, PA",1491,20,0.40%
395007,264,"Pueblo, CO",1192,20,1.60%
395215,266,"Wausau, WI",918,20,5.00%
394731,267,"Kahului, HI",2836,20,5.80%
394720,268,"Janesville, WI",979,20,12.40%
395170,269,"Tupelo, MS",1075,20,6.50%
394393,270,"Bloomington, IN",1201,20,3.80%
394930,271,"Odessa, TX",1440,25,7.50%
394710,272,"Jackson, MI",943,20,2.90%
395125,273,"State College, PA",1279,20,2.60%
395079,274,"Sebastian, FL",1924,20,12.10%
394453,277,"Chambersburg, PA",1017,15,8.30%
395193,278,"Vineland, NJ",1702,25,0.00%
394703,279,"Idaho Falls, ID",1055,25,0.90%
394639,280,"Grand Junction, CO",1436,25,3.30%
394563,281,"Elizabethtown, KY",914,20,1.80%
394917,282,"Niles, MI",1324,15,2.20%
394873,283,"Monroe, MI",1086,20,2.90%
395066,284,"Santa Fe, NM",1830,25,-3.30%
394493,285,"Concord, NH",2135,25,5.50%
395163,287,"Traverse City, MI",1630,20,0.00%
394359,288,"Bangor, ME",1405,20,6.70%
394685,289,"Homosassa Springs, FL",1338,15,0.00%
394662,290,"Hanford, CA",1352,20,1.50%
394723,291,"Jefferson City, MO",782,20,12.70%
394598,292,"Florence, AL",789,20,1.40%
394306,295,"Albany, GA",857,20,-0.90%
845167,296,"Ottawa, IL",915,15,3.80%
395102,297,"Sioux City, IA",1187,25,9.00%
395223,298,"Wichita Falls, TX",838,20,2.30%
395182,300,"Valdosta, GA",1396,20,9.20%
394800,301,"Logan, UT",1160,20,2.30%
394595,302,"Flagstaff, AZ",2081,20,2.30%
395036,303,"Rocky Mount, NC",756,20,0.00%
395000,304,"Pottsville, PA",992,15,15.80%
394783,306,"Lebanon, PA",1234,20,8.90%
395232,308,"Winchester, VA",1722,20,5.30%
395221,309,"Wheeling, WV",817,20,6.70%
394879,310,"Morgantown, WV",1218,20,2.50%
394756,311,"La Crosse, WI",1035,20,3.10%
394900,312,"Napa, CA",2524,20,0.90%
395013,313,"Rapid City, SD",1130,25,2.30%
395139,314,"Sumter, SC",1042,20,2.20%
394577,315,"Eureka, CA",1337,25,4.70%
394668,317,"Harrisonburg, VA",1568,20,6.30%
394368,318,"Battle Creek, MI",1148,25,8.40%
395094,319,"Sherman, TX",1338,20,3.10%
394821,320,"Manhattan, KS",862,15,8.30%
394442,321,"Carbondale, IL",709,20,4.30%
394728,323,"Jonesboro, AR",989,20,8.50%
394390,324,"Bismarck, ND",1385,20,8.90%
394661,325,"Hammond, LA",1199,20,5.90%
394983,326,"Pittsfield, MA",1552,20,6.60%
394890,327,"Mount Vernon, WA",1973,20,-2.40%
395153,329,"The Villages, FL",1648,25,2.30%
394307,330,"Albany, OR",1476,20,4.50%
394633,331,"Glens Falls, NY",1230,20,0.00%
394780,332,"Lawton, OK",1029,20,0.50%
394474,334,"Cleveland, TN",1414,20,2.90%
395098,335,"Sierra Vista, AZ",977,20,5.90%
394325,336,"Ames, IA",876,20,6.50%
394824,337,"Mansfield, OH",830,20,0.00%
395128,338,"Staunton, VA",1174,20,0.00%
394353,339,"Augusta, ME",1359,20,6.50%
394321,340,"Altoona, PA",857,20,0.00%
394905,341,"New Bern, NC",1412,20,6.00%
394588,342,"Farmington, NM",1066,20,0.00%
395120,343,"St. Joseph, MO",804,20,0.00%
395054,344,"San Angelo, TX",1073,25,0.00%
395218,345,"Wenatchee, WA",1737,20,0.50%
394778,349,"Lawrence, KS",984,20,8.80%
394635,350,"Goldsboro, NC",1033,20,0.00%
395213,351,"Watertown, NY",1221,20,-0.40%
395089,352,"Sheboygan, WI",912,20,1.60%
395217,353,"Weirton, WV",758,15,-0.80%
394867,354,"Missoula, MT",1367,20,3.20%
395237,355,"Wooster, OH",1395,15,2.60%
394407,356,"Bozeman, MT",2105,25,0.20%
394333,357,"Anniston, AL",772,20,2.20%
395225,359,"Williamsport, PA",1047,20,4.20%
394423,360,"Brunswick, GA",1413,20,2.50%
395173,361,"Twin Falls, ID",1253,20,7.20%
753872,361,"California, MD",1807,20,5.90%
394495,363,"Cookeville, TN",1026,20,5.20%
394893,364,"Muncie, IN",872,15,12.30%
394788,367,"Lewiston, ME",1536,20,6.40%
394804,368,"Longview, WA",1176,20,4.80%
394932,369,"Ogdensburg, NY",1061,15,0.00%
394734,370,"Kankakee, IL",1137,15,5.60%
395023,373,"Richmond, KY",891,20,1.20%
395222,375,"Whitewater, WI",1254,15,0.00%
394709,376,"Ithaca, NY",1737,20,2.90%
394637,377,"Grand Forks, ND",1047,20,8.10%
394762,379,"LaGrange, GA",1292,20,1.00%
394369,380,"Bay City, MI",1283,15,0.00%
394599,381,"Fond du Lac, WI",1012,20,5.20%
394733,384,"Kalispell, MT",1708,20,2.10%
394823,386,"Mankato, MN",1202,20,3.60%
395166,389,"Truckee, CA",1875,15,0.00%
395080,390,"Sebring, FL",1253,15,0.00%
394462,391,"Cheyenne, WY",1071,20,7.00%
395090,394,"Shelby, NC",1100,20,0.00%
394542,396,"Dubuque, IA",893,20,5.90%
394852,397,"Meridian, MS",1173,25,0.00%
753912,398,"Pinehurst, NC",1661,15,0.10%
394953,399,"Paducah, KY",975,20,0.00%
395190,400,"Victoria, TX",1031,20,9.00%
395038,401,"Rome, GA",1091,20,8.80%
395086,402,"Sevierville, TN",1572,20,-6.70%
394882,403,"Moses Lake, WA",1475,20,-3.50%
394441,405,"Cape Girardeau, MO",846,20,6.60%
394580,407,"Fairbanks, AK",1594,20,4.60%
394410,408,"Brainerd, MN",1145,15,0.00%
394505,411,"Corvallis, OR",1633,15,0.80%
394988,412,"Pocatello, ID",987,20,3.10%
394501,413,"Corning, NY",1373,15,4.30%
395175,416,"Ukiah, CA",1500,15,0.00%
753887,417,"Hermiston, OR",1162,15,0.00%
394373,420,"Beaver Dam, WI",1004,15,6.10%
394641,422,"Grants Pass, OR",1167,20,0.00%
394907,427,"New Castle, PA",728,20,0.00%
394925,428,"Oak Harbor, WA",1648,20,3.50%
394942,429,"Orangeburg, SC",1435,20,0.00%
395212,430,"Watertown, WI",1168,15,8.50%
394644,433,"Great Falls, MT",1098,20,4.60%
394859,437,"Midland, MI",1716,20,4.40%
394755,438,"Kokomo, IN",812,15,0.00%
394395,439,"Bloomsburg, PA",1006,20,10.20%
394675,441,"Helena, MT",1412,20,6.20%
394744,442,"Key West, FL",2867,15,4.50%
394489,445,"Columbus, IN",1282,20,8.90%
394345,446,"Athens, TX",1236,15,0.00%
394452,447,"Centralia, WA",1278,20,6.70%
394682,449,"Hinesville, GA",1436,15,-2.80%
395205,451,"Warsaw, IN",1126,15,0.00%
395126,453,"Statesboro, GA",1044,15,3.30%
394445,454,"Casper, WY",1376,20,4.30%
753881,456,"Glenwood Springs, CO",2630,20,0.00%
394866,458,"Minot, ND",1026,20,6.20%
394638,462,"Grand Island, NE",1334,25,0.00%
394699,465,"Huntsville, TX",1003,20,0.00%
394738,466,"Keene, NH",1745,15,6.30%
394593,470,"Findlay, OH",1538,20,0.00%
394614,471,"Frankfort, KY",974,20,9.30%
394516,472,"Danville, IL",616,20,3.70%
394298,473,"Aberdeen, WA",1340,20,10.80%
753893,477,"Jefferson, GA",1503,15,0.30%
394736,478,"Kapaa, HI",2400,15,0.00%
395088,482,"Shawnee, OK",823,20,0.00%
395132,485,"Stevens Point, WI",960,20,6.40%
394655,488,"Greenwood, SC",863,20,0.00%
394752,490,"Klamath Falls, OR",1026,20,0.00%
394877,491,"Morehead City, NC",1500,15,0.00%
394305,493,"Alamogordo, NM",1123,15,0.00%
394586,498,"Faribault, MN",1383,15,0.00%
394829,500,"Marquette, MI",1134,20,0.00%
394360,505,"Baraboo, WI",988,15,0.00%
845163,508,"Jasper, AL",789,15,0.00%
395092,510,"Shelton, WA",1403,15,0.00%
395020,517,"Rexburg, ID",1026,15,1.70%
394787,518,"Lewiston, ID",1150,15,0.00%
394759,519,"Laconia, NH",1832,15,0.00%
394343,521,"Athens, OH",628,15,0.00%
395199,525,"Walla Walla, WA",1479,15,3.70%
394701,527,"Hutchinson, KS",659,20,0.00%
394693,528,"Hudson, NY",1960,15,9.60%
395124,529,"Starkville, MS",1356,15,8.80%
394631,531,"Gillette, WY",1127,20,0.00%
845162,535,"Granbury, TX",1536,15,5.40%
395049,537,"Salina, KS",750,20,0.00%
753903,538,"Marietta, OH",885,15,0.00%
394362,540,"Barre, VT",1239,15,0.00%
394939,542,"Oneonta, NY",1348,15,0.00%
394490,543,"Columbus, MS",1280,20,0.00%
394456,549,"Charleston, IL",635,15,0.00%
394592,550,"Fernley, NV",1475,15,0.00%
394444,551,"Carson City, NV",1909,15,5.80%
394551,552,"Eagle Pass, TX",1477,20,0.00%
394432,553,"Calhoun, GA",1995,15,0.00%
753877,554,"Cullowhee, NC",1249,15,0.00%
394582,556,"Fairmont, WV",838,15,0.00%
394621,558,"Gaffney, SC",915,15,0.00%
394411,561,"Branson, MO",909,20,0.00%
394446,562,"Cedar City, UT",1326,20,3.10%
394556,566,"Edwards, CO",3091,15,0.00%
394547,567,"Durango, CO",1920,20,5.50%
395122,576,"St. Marys, GA",1400,15,2.70%
395204,578,"Warrensburg, MO",815,20,6.90%
394634,579,"Gloversville, NY",900,15,0.00%
394604,580,"Fort Leonard Wood, MO",920,15,6.90%
394571,585,"Enterprise, AL",1092,15,0.00%
394339,586,"Ashland, OH",835,15,0.00%
394363,590,"Bartlesville, OK",1328,20,0.00%
394503,592,"Corsicana, TX",1143,20,-1.30%
395234,603,"Winona, MN",908,15,0.00%
394326,607,"Amsterdam, NY",1200,15,0.00%
394608,611,"Fort Polk South, LA",1100,15,0.00%
394437,612,"Carson City, CO",1050,15,0.00%
394478,615,"Clovis, NM",905,20,1.10%
394919,616,"Norfolk, NE",885,15,0.00%
395043,618,"Ruston, LA",1091,15,8.00%
395008,620,"Pullman, WA",1134,15,0.00%
394391,623,"Blackfoot, ID",1052,15,0.00%
394876,628,"Montrose, CO",1353,20,0.00%
394504,629,"Cortland, NY",1366,15,9.00%
394850,651,"Menomonie, WI",922,15,0.00%
395037,659,"Rolla, MO",637,15,7.50%
394567,663,"Ellensburg, WA",1256,15,0.00%
395032,678,"Rock Springs, WY",1294,15,10.70%
395129,680,"Stephenville, TX",762,15,-2.50%
394891,686,"Mountain Home, AR",1000,15,0.00%
394341,691,"Astoria, OR",1463,15,12.50%
394354,698,"Austin, MN",769,15,0.00%
395082,699,"Selinsgrove, PA",1000,15,0.00%
395227,715,"Williston, ND",1293,15,7.70%
394507,722,"Crawfordsville, IN",891,15,0.00%
394771,733,"Laramie, WY",1050,15,10.20%
394894,734,"Murray, KY",1053,15,0.00%
394603,737,"Fort Dodge, IA",789,15,0.00%
394370,751,"Bay City, TX",869,15,0.00%
395187,760,"Vernal, UT",1200,15,0.00%
394430,764,"Butte, MT",1124,15,0.00%
394569,767,"Emporia, KS",625,15,0.00%
394331,774,"Angola, IN",962,15,0.00%
394419,778,"Brookings, SD",1010,15,10.10%
394533,785,"Dickinson, ND",1260,15,0.00%
753871,811,"Breckenridge, CO",2824,15,0.00%
753923,849,"The Dalles, OR",1539,15,0.00%
395198,882,"Wahpeton, ND",770,15,0.00%
394371,891,"Beatrice, NE",1175,15,0.00%
394718,892,"Jamestown, ND",1302,15,6.70%
394996,915,"Portales, NM",833,15,0.00%
